TimeSec,BandwidthMbps
15.0,125400.50
15.0,121929.52
15.0,125194.89
15.0,125400.50
15.0,121670.46
15.1,124559.50
15.1,124536.93
15.1,122102.84
15.1,124627.27
15.1,124559.50
15.1,121843.04
15.1,125469.19
15.1,125286.19
15.1,121048.93
15.1,124831.02
15.1,124446.72
15.1,124921.79
15.1,123818.88
15.1,120096.95
15.1,125286.19
15.1,124921.79
15.1,121929.52
15.1,125103.73
15.1,125652.73
15.1,124649.88
15.1,125583.84
15.1,124536.93
15.1,121756.69
15.1,123285.75
15.1,125492.11
15.1,121584.35
15.1,125675.71
15.1,125103.73
15.1,121735.12
15.1,125583.84
15.1,125400.50
15.1,124266.68
15.1,125035.44
15.1,124559.50
15.1,124446.72
15.1,125286.19
15.1,125469.19
16.0,117973.35
16.0,117489.27
16.0,119408.30
16.0,119429.05
16.0,119595.33
16.0,118809.61
16.0,119741.20
16.0,119574.52
16.0,117248.72
16.0,118727.50
16.0,117328.80
16.0,114742.82
16.0,118891.83
16.0,119574.52
16.0,118974.16
16.0,117730.82
16.0,118809.61
16.0,117912.62
16.0,119408.30
16.0,119077.24
16.0,119242.54
16.0,119325.36
16.0,117168.76
16.0,119077.24
16.0,119159.83
16.0,118727.50
16.0,119325.36
16.0,118748.02
16.0,118074.70
16.0,117831.75
16.0,119491.35
16.0,118318.66
16.0,119408.30
16.0,118665.99
16.0,119595.33
16.1,117993.61
16.1,117009.16
16.1,119491.35
16.1,119159.83
16.1,118809.61
16.1,119657.80
16.1,118974.16
16.1,118074.70
16.1,118155.91
16.1,119762.07
16.1,117993.61
16.1,119429.05
16.1,119242.54
16.1,118974.16
16.1,119574.52
16.1,119139.18
16.1,116513.19
16.1,118748.02
16.1,117811.55
16.1,118645.51
16.1,118891.83
16.1,118809.61
16.1,119491.35
16.1,118481.86
16.1,118155.91
16.1,119491.35
16.1,119491.35
16.1,118400.20
16.1,119159.83
16.1,119159.83
16.1,117650.19
16.1,119242.54
16.1,118912.40
16.1,119408.30
16.1,119408.30
17.0,126438.78
17.0,120623.97
17.0,124921.79
17.0,125859.85
17.0,125469.19
17.0,128543.73
17.0,120518.20
17.0,128064.62
17.0,125859.85
17.0,123818.88
17.0,119242.54
17.0,127589.08
17.0,117068.96
17.0,123285.75
17.0,122298.41
17.0,120265.10
17.0,122823.01
17.0,123087.01
17.0,120878.59
17.0,123374.28
17.0,123175.26
17.0,122647.65
17.0,122823.01
17.0,123352.14
17.0,121735.12
17.0,123529.53
17.0,122910.89
17.0,121584.35
17.0,123440.77
17.0,122998.88
17.0,122385.53
17.0,124469.26
17.0,124559.50
17.0,123440.77
17.0,124356.64
